XCoord,YCoord,OBJECTID,XCOORD,YCOORD,ID,ID2,X,Y,WHITE,HISP,BLWPOV,MEDINC,UPTOHIGH,INS,MEDICARE,MEDICAID,URBAN1,URBAN2,BORDER2,DISTANCE1,DISTANCE2,DISTANCE
1743283.16300000,7622921.34700000,42,1743283.163000,7622921.347000,1500000US484391054053,484391000000.000000,1743283.163000,7622921.347000,0.896311,0.029910,0.075556,5.015988,0.142303,0.913260,0.064307,0.015454,1,1,0,4935.019204,4935.019204,4408.758194
1741909.08200000,7623262.71700000,43,1741909.082000,7623262.717000,1500000US484391054064,484391000000.000000,1741909.082000,7623262.717000,0.690996,0.101637,0.014888,4.761732,0.152542,0.901774,0.000000,0.000000,1,1,0,4966.929932,4966.929932,4629.410916
1742126.73300000,7624279.98000000,44,1742126.733000,7624279.980000,1500000US484391024014,484391000000.000000,1742126.733000,7624279.980000,0.349328,0.067179,0.222222,4.476005,0.414336,0.716891,0.062380,0.145873,1,1,0,5999.612409,5999.612409,5640.132067
1767306.93000000,7622136.38000000,45,1767306.930000,7622136.380000,1500000US484391115523,484391000000.000000,1767306.930000,7622136.380000,0.842574,0.035644,0.039666,4.698231,0.466408,0.767327,0.100990,0.037624,1,1,0,2711.099737,2711.099737,2711.099737
1768515.32500000,7622254.66000000,46,1768515.325000,7622254.660000,1500000US484391115533,484391000000.000000,1768515.325000,7622254.660000,0.679497,0.311076,0.131376,4.574807,0.411392,0.611155,0.040063,0.080911,1,1,0,1568.389276,1568.389276,1556.795000
1765772.23500000,7622329.41700000,47,1765772.235000,7622329.417000,1500000US484391115452,484391000000.000000,1765772.235000,7622329.417000,0.916327,0.014966,0.023810,5.068186,0.145931,0.984354,0.072109,0.000000,1,1,0,4227.234298,4227.234298,4227.234298
1764065.00600000,7622857.71500000,48,1764065.006000,7622857.715000,1500000US484391115292,484391000000.000000,1764065.006000,7622857.715000,0.930563,0.068424,0.093855,4.790637,0.213343,0.936138,0.126711,0.017739,1,1,0,5993.278877,5993.278877,5932.066383
1762549.51500000,7622934.05500000,49,1762549.515000,7622934.055000,1500000US484391216083,484391000000.000000,1762549.515000,7622934.055000,0.956746,0.036045,0.096104,4.917185,0.221300,0.929969,0.072091,0.045314,1,1,0,7497.170604,7497.170604,7448.941735
1767537.56500000,7622970.52000000,50,1767537.565000,7622970.520000,1500000US484391115522,484391000000.000000,1767537.565000,7622970.520000,0.880597,0.097761,0.084048,4.877066,0.223014,0.928358,0.070149,0.059701,1,1,0,2545.382160,2545.382160,2469.416552
1768652.92200000,7622971.55900000,51,1768652.922000,7622971.559000,1500000US484391115521,484391000000.000000,1768652.922000,7622971.559000,0.767442,0.116279,0.185841,4.678446,0.335180,0.820393,0.012161,0.116932,1,1,0,1454.682194,1454.682194,1363.397880
1763386.73700000,7623034.41100000,52,1763386.737000,7623034.411000,1500000US484391216084,484391000000.000000,1763386.737000,7623034.411000,0.855365,0.044458,0.053245,4.808650,0.329573,0.840025,0.016939,0.089084,1,1,0,6680.772490,6680.772490,6615.818892
1769569.43200000,7623146.56600000,53,1769569.432000,7623146.566000,1500000US484391115245,484391000000.000000,1769569.432000,7623146.566000,0.394444,0.083333,0.000000,4.670941,0.060811,0.795198,0.000000,0.000000,1,1,0,750.559810,750.559810,591.893341
1764660.89700000,7623261.32400000,54,1764660.897000,7623261.324000,1500000US484391115291,484391000000.000000,1764660.897000,7623261.324000,0.919809,0.183294,0.035904,4.890125,0.327338,0.896420,0.053938,0.070644,1,1,0,5434.530255,5434.530255,5360.724675
1766169.82000000,7623514.68700000,55,1766169.820000,7623514.687000,1500000US484391115451,484391000000.000000,1766169.820000,7623514.687000,0.876018,0.034389,0.187625,4.728768,0.321705,0.845249,0.043439,0.062443,1,1,0,3994.626484,3994.626484,3904.432504
1767080.54900000,7623734.35500000,56,1767080.549000,7623734.355000,1500000US484391115263,484391000000.000000,1767080.549000,7623734.355000,0.589007,0.366021,0.145455,4.523044,0.483350,0.673329,0.080575,0.131168,1,1,0,3190.457880,3190.457880,3081.469341
1767893.21200000,7623771.67400000,57,1767893.212000,7623771.674000,1500000US484391115262,484391000000.000000,1767893.212000,7623771.674000,0.792887,0.110356,0.070496,4.746595,0.178660,0.815377,0.024582,0.082636,1,1,0,2469.613878,2469.613878,2343.822929
1762498.27400000,7623793.93800000,58,1762498.274000,7623793.938000,1500000US484391216082,484391000000.000000,1762498.274000,7623793.938000,0.729282,0.194949,0.225225,4.810522,0.200787,0.806630,0.018942,0.135754,1,1,0,7651.486288,7651.486288,7211.950350
1768968.78400000,7623806.51700000,59,1768968.784000,7623806.517000,1500000US484391115261,484391000000.000000,1768968.784000,7623806.517000,0.718457,0.228363,0.209239,4.684783,0.191682,0.647550,0.036496,0.156413,1,1,0,1642.580446,1642.580446,1483.482941
1763445.31400000,7623809.69800000,60,1763445.314000,7623809.698000,1500000US484391216081,484391000000.000000,1763445.314000,7623809.698000,0.894512,0.130435,0.000000,4.799396,0.300862,0.873842,0.084105,0.000000,1,1,0,6721.207233,6721.207233,6637.915163
1765679.86100000,7624430.49000000,61,1765679.861000,7624430.490000,1500000US484391115063,484391000000.000000,1765679.861000,7624430.490000,0.604809,0.064735,0.147059,4.526119,0.439252,0.699137,0.032676,0.183107,1,1,0,4750.526804,4750.526804,4636.667277
1767644.10000000,7624595.03200000,62,1767644.100000,7624595.032000,1500000US484391226003,484391000000.000000,1767644.100000,7624595.032000,0.711665,0.064563,0.159375,4.835513,0.375412,0.884530,0.062916,0.091044,1,1,0,3145.002416,3145.002416,2997.739032
1768742.07300000,7624658.58800000,63,1768742.073000,7624658.588000,1500000US484391227003,484391000000.000000,1768742.073000,7624658.588000,0.736076,0.074051,0.244444,4.591488,0.244082,0.609677,0.082581,0.072903,1,1,0,2464.041254,2464.041254,2295.226105
1765150.22600000,7624712.30500000,64,1765150.226000,7624712.305000,1500000US484391115064,484391000000.000000,1765150.226000,7624712.305000,0.564319,0.212207,0.257885,4.412074,0.360656,0.800000,0.014085,0.283568,1,1,0,5348.462375,5348.462375,5047.808189
1769612.77400000,7624764.08200000,65,1769612.774000,7624764.082000,1500000US484391227004,484391000000.000000,1769612.774000,7624764.082000,0.517456,0.145262,0.249333,4.245858,0.395522,0.714464,0.028055,0.120948,1,1,0,2236.298994,2236.298994,2063.894410
1766180.41400000,7625131.28200000,66,1766180.414000,7625131.282000,1500000US484391115061,484391000000.000000,1766180.414000,7625131.282000,0.936896,0.062536,0.031680,4.919732,0.239784,0.918332,0.078812,0.029126,1,1,0,4640.977544,4640.977544,4346.037306
1767175.72400000,7625364.92900000,67,1767175.724000,7625364.929000,1500000US484391226002,484391000000.000000,1767175.724000,7625364.929000,0.928962,0.052823,0.039409,4.963788,0.229630,0.835155,0.045537,0.009107,1,1,0,4009.298486,4009.298486,3855.385300
1767981.19900000,7625382.49600000,68,1767981.199000,7625382.496000,1500000US484391226001,484391000000.000000,1767981.199000,7625382.496000,0.849716,0.032494,0.232082,4.619281,0.260406,0.877805,0.059850,0.058188,1,1,0,3491.289488,3491.289488,3326.021149
1769539.85100000,7625442.06400000,69,1769539.851000,7625442.064000,1500000US484391227001,484391000000.000000,1769539.851000,7625442.064000,0.962773,0.233633,0.053691,4.743392,0.215385,0.871630,0.000000,0.066752,1,1,0,2916.062254,2916.062254,2744.166266
1768760.19100000,7625475.52700000,70,1768760.191000,7625475.527000,1500000US484391227002,484391000000.000000,1768760.191000,7625475.527000,0.848649,0.048649,0.102167,4.884019,0.173486,0.841081,0.000000,0.032432,1,1,0,3178.405779,3178.405779,3005.253664
1770173.91800000,7625571.88400000,71,1770173.918000,7625571.884000,1500000US484391228012,484391000000.000000,1770173.918000,7625571.884000,0.338974,0.286026,0.436567,4.350209,0.552855,0.598253,0.013100,0.328057,1,1,0,3003.155313,3003.155313,2841.425322
1762744.28400000,7603195.98300000,72,1762744.284000,7603195.983000,1500000US482511304053,482511000000.000000,1762744.284000,7603195.983000,0.916452,0.158098,0.000000,4.707570,0.462662,0.641388,0.019280,0.017995,0,1,0,10955.182686,10955.182686,10202.504727
1760209.87700000,7605150.78600000,73,1760209.877000,7605150.786000,1500000US482511304051,482511000000.000000,1760209.877000,7605150.786000,0.984889,0.168000,0.081191,4.967281,0.391667,0.837333,0.016000,0.048000,0,1,0,12459.218966,12459.218966,10133.595923
1766568.89000000,7607543.42000000,74,1766568.890000,7607543.420000,1500000US484391113062,484391000000.000000,1766568.890000,7607543.420000,0.759193,0.603796,0.253275,4.653213,0.585313,0.435350,0.024318,0.052195,1,1,0,5685.583349,5685.583349,4791.752727
1761717.62300000,7608105.02100000,75,1761717.623000,7608105.021000,1500000US484391113013,484391000000.000000,1761717.623000,7608105.021000,0.706791,0.319923,0.164516,4.887015,0.483447,0.808819,0.050853,0.105246,1,1,0,10399.746974,10399.746974,7065.472102
1768184.04000000,7608980.24600000,76,1768184.040000,7608980.246000,1500000US484391113081,484391000000.000000,1768184.040000,7608980.246000,1.000000,0.067066,0.000000,4.961815,0.290262,0.971119,0.033694,0.036101,1,1,0,3901.855924,3901.855924,3360.550784
1765530.51400000,7609486.86500000,77,1765530.514000,7609486.865000,1500000US484391113061,484391000000.000000,1765530.514000,7609486.865000,0.744323,0.165265,0.058030,4.965742,0.259526,0.848612,0.030698,0.033221,0,1,0,6579.414537,6579.414537,3361.025998
1766610.22400000,7610079.46600000,78,1766610.224000,7610079.466000,1500000US484391113063,484391000000.000000,1766610.224000,7610079.466000,0.926353,0.054126,0.017391,4.769008,0.393484,0.724046,0.048802,0.047028,1,1,0,5596.716322,5596.716322,2327.792744
1768015.50100000,7610108.91100000,79,1768015.501000,7610108.911000,1500000US484391113072,484391000000.000000,1768015.501000,7610108.911000,0.962323,0.175824,0.157447,4.765914,0.433942,0.727630,0.033752,0.054945,1,1,0,4240.149467,4240.149467,2224.426850
1769427.33900000,7610234.79200000,80,1769427.339000,7610234.792000,1500000US484391113121,484391000000.000000,1769427.339000,7610234.792000,0.930605,0.125741,0.022147,5.116578,0.075993,1.000000,0.028470,0.000000,1,1,0,2965.686216,2965.686216,2838.272240
1767391.33700000,7610967.37000000,81,1767391.337000,7610967.370000,1500000US484391113071,484391000000.000000,1767391.337000,7610967.370000,0.661893,0.329923,0.064472,4.697029,0.220238,0.506487,0.015568,0.080436,1,1,0,5121.332462,5121.332462,1289.620220
1768377.14300000,7611302.44300000,82,1768377.143000,7611302.443000,1500000US484391113043,484391000000.000000,1768377.143000,7611302.443000,0.763281,0.013979,0.070588,4.704588,0.296399,0.899348,0.085741,0.033551,1,1,0,4407.897357,4407.897357,1340.678961
1764304.77500000,7611615.03400000,83,1764304.775000,7611615.034000,1500000US484391113014,484391000000.000000,1764304.775000,7611615.034000,0.727957,0.016129,0.049180,4.919021,0.208130,0.841398,0.039247,0.000000,1,1,0,8234.328570,8234.328570,3195.207170
1769580.61600000,7611627.42400000,84,1769580.616000,7611627.424000,1500000US484391113042,484391000000.000000,1769580.616000,7611627.424000,0.848606,0.042629,0.045131,5.056634,0.102875,0.976096,0.035458,0.000000,1,1,0,3688.723656,3688.723656,2235.883272
1769029.55800000,7611639.17000000,85,1769029.558000,7611639.170000,1500000US484391113041,484391000000.000000,1769029.558000,7611639.170000,0.832663,0.020113,0.000000,5.000169,0.248000,0.959775,0.053902,0.000000,1,1,0,4090.805212,4090.805212,1709.814524
1770313.02400000,7612218.57200000,86,1770313.024000,7612218.572000,1500000US484391113044,484391000000.000000,1770313.024000,7612218.572000,0.756042,0.127266,0.017284,5.019897,0.201242,0.913520,0.029456,0.000000,1,1,0,3744.995909,3744.995909,2878.289740
1768003.43400000,7612291.98200000,87,1768003.434000,7612291.982000,1500000US484391115511,484391000000.000000,1768003.434000,7612291.982000,0.711394,0.101215,0.000000,5.039648,0.155594,0.933990,0.028952,0.000000,1,1,0,5294.901894,5294.901894,569.574925
1765673.12000000,7612479.10300000,88,1765673.120000,7612479.103000,1500000US484391114062,484391000000.000000,1765673.120000,7612479.103000,0.820841,0.168800,0.026230,4.976006,0.221665,0.970750,0.008531,0.030469,1,1,0,7334.037603,7334.037603,1775.898821
