"VIF.1","VIF.2","VIF.3","VIF.4","VIF.5","VIF.6","VIF.7","VIF.8","VIF.9","VIF.10","VIF.11","VIF.12","VIF.13"
"1",1.5515579465255,1.73324266057134,1.82287417922942,1.55465097028766,1.23437792292896,3.6683524303982,1.97680196416573,2.8831785213105,2.00766232792542,2.57869687525217,1.22024740880314,1.24830875805708,1.34049581407333
"2",1.57594714661133,2.02203305844748,1.89063733003112,1.7154358906107,1.28341396279495,3.4756649801878,2.26075955545877,2.38540751095271,2.8921918345725,3.75906776537966,1.25056367716808,1.36360408680454,1.55153760376923
"3",1.58335888685513,2.15442350161307,1.77929395263877,1.86716491388784,1.30450019573267,2.98219791172852,2.40377331442895,2.02456782223593,3.08421919804409,3.72102530855058,1.26221654814069,1.39378103355476,1.60960927329859
"4",1.61521912712651,2.29255354354638,1.67379338795468,2.04136280921644,1.32464209362671,2.4869648609256,2.57049716465134,1.78249304517615,3.19175016386116,3.69966490087059,1.27195192365897,1.41938464605983,1.60757457454281
"5",1.65253446757715,2.07680033553126,1.95779602991208,1.54450142743345,1.32082572045365,2.58663120706169,2.37358218965373,1.78965235167858,3.8988631607164,4.65421383776706,1.22139175905029,1.34124311513333,1.46465642558489
"6",1.55823061720701,1.83855449489333,1.90939425709503,1.60172254751331,1.24817103598603,3.8275735873573,2.20528727147967,2.87457521989727,2.2297026504154,3.2618202813062,1.23167926150275,1.31700500745067,1.4112458765082
"7",1.60736307569273,1.92676001950376,1.97900659197586,1.6134421164297,1.27329803796658,3.50667178944086,2.30939429279947,2.41016806450146,2.61350509342986,3.74377063568962,1.23777057392232,1.34492215152841,1.47735357429773
"8",1.53835547295775,1.90479371696383,1.85549335901329,1.70505363034751,1.26034146989349,4.16550482837461,2.14042663694749,3.1163619951188,2.43465330162309,3.4604305033881,1.25691738469872,1.3442576246847,1.5182420543838
"9",1.57331982084904,2.18686462264527,1.66485745372036,1.7289748143781,1.32863016259112,2.09303586473895,2.38179437739361,1.85518785529127,4.58506407765242,4.50671837854095,1.20215690186638,1.33447504426082,1.46463453193814
"10",1.61774214592144,2.18185904343452,1.75557592183968,1.68765952174256,1.32111961603221,2.26033179629289,2.33889112175581,1.76123896891319,4.15875818473771,4.40748727315427,1.21522090057325,1.34996376086438,1.46848548834645
"11",1.61314251621095,2.20669572766787,1.70246013147971,1.74876782517792,1.33016186077072,2.20472782617389,2.38985676962953,1.80457717267363,4.21779203164396,4.39306613886978,1.21776657308964,1.3538176297626,1.47441657363339
"12",1.59991931522349,2.23481824051097,1.63602454920987,1.83387840343115,1.32877217582514,2.0446791001724,2.46806184286239,1.88174533682391,4.32869680004659,4.36338095400913,1.2112634946848,1.34893762478381,1.46988632626542
"13",1.56028552701492,2.22247045242463,1.56990123370497,1.91455949173779,1.34407088653783,1.96873783644335,2.62744889905184,2.34112547723268,5.25698290363545,4.88352848911538,1.20032648976143,1.33303374323834,1.56269616046861
"14",1.62551381639685,2.34483713895573,1.56309667345193,2.12320414127899,1.33816792091583,1.91888177933011,2.7209325657411,2.02530895036023,4.06044512818319,4.16621279521077,1.23317351795434,1.38576578870046,1.48767557651555
"15",1.58582310701247,2.36815180744437,1.53039682229622,2.36902331577901,1.36121578596295,1.86192629382392,3.14566305360955,3.26964549279661,5.60382111547118,5.12850679717198,1.23094120003442,1.39285826108349,1.70398964339618
"16",1.6603652593345,1.47345105476133,1.96248121835082,1.1859955118515,1.45490416731033,4.56024427153463,2.20924404989883,4.26112980933674,2.98438188107255,4.01059758998943,1.23416819806684,1.13983413499039,1.42029195394905
"17",1.6315703299612,1.47956867376367,1.93393893395868,1.1791197991075,1.4201341761552,6.40635171817641,2.02528616031153,4.04149831778479,3.79493228890763,6.72146614996391,1.23719599822336,1.13455555284581,1.62524423611067
"18",1.69531549289614,1.58018155061667,1.90854803208738,1.17127964164104,1.37068179107203,5.74859740319346,2.45626722294806,4.05304998262906,3.27224984473205,4.81536459373828,1.34901465840763,1.10843630232201,2.04948066555829
"19",1.67332012894918,1.53298865813673,2.09267898994755,1.31530980539775,1.39516909670376,6.5937430979808,5.75181159828233,5.59073594932068,2.42816910720186,3.99550826153345,1.64239002182815,1.12375942492125,2.8705653941117
"20",1.5239670012944,1.43587487514905,1.9681147867307,1.28047593571108,1.35746080807768,6.60282560517094,5.79441880726224,5.02066777112287,2.49579737140181,4.17638044748071,1.65945447336997,1.11361931472067,2.67806773419121
"21",1.40082185289599,1.5159210808625,1.67058157158082,1.18917221055474,1.31936219362568,4.87206127415327,2.55301663434732,3.33622142424493,3.68581270506305,4.51672916956637,1.51726421938957,1.09071448579705,1.88991027671883
"22",1.31552418543042,1.29682489216285,1.739868057132,1.25768469093019,1.2858207041567,6.63570339062057,6.626557334189,4.06742946985155,2.6705337998917,5.12375303959685,1.64961881977054,1.10148926077504,2.42421244240053
"23",1.26214152327443,1.29882349286327,1.7298584729354,1.18180658262884,1.31312688649531,6.61644744099695,5.46340906473842,3.83257589440674,3.2776869764767,5.2017681597416,1.68775546842932,1.10362435264246,2.25869736821527
"24",1.13674547228332,1.29727545362832,1.57276162847967,1.13196465990924,1.2671767814009,6.71389236551339,5.46169105204224,3.01418369673265,4.68558542835021,6.97009444681671,1.68701959579375,1.10230931208938,1.96713845705407
"25",1.12310793674024,1.38784548366302,1.4637872443181,1.14572606581527,1.21775773484065,6.67952523739056,5.87359703827657,2.36093121257144,6.54324020420067,9.06862313982918,1.65379336160369,1.09758091767445,1.77430686034507
