"VIF.1","VIF.2","VIF.3","VIF.4","VIF.5","VIF.6","VIF.7","VIF.8","VIF.9","VIF.10","VIF.11","VIF.12"
"1",1.66310367275927,1.73796377786537,1.96432955215796,1.59440421286919,1.25055216289049,3.58788777208247,2.51429930141119,2.85024482092717,1.9165716417721,3.00395971745289,1.26014449279878,1.33136467460711
"2",1.61509094314244,1.99129351782251,1.77525435224774,1.67296872305838,1.28403859481375,3.07100328259003,2.41351938755441,2.10612693744799,2.29770311815686,3.62561317838754,1.29194043950746,1.36459875373387
"3",1.68468163181124,2.19702639884147,1.67960469643767,1.87414148586413,1.33154809993137,2.72242343819316,2.59980457673318,1.82095655408802,2.43635538967037,3.57869202852335,1.36667216471475,1.41214056360372
"4",1.75874335298911,2.37596265713051,1.60657659171709,2.0513320877046,1.35905368315847,2.41067788720378,2.75490597423765,1.79271346735488,2.67998134427484,3.54515192866429,1.37446685939997,1.42852812163205
"5",1.69245102527288,2.03727995680335,1.96424853960129,1.53413848503896,1.36566486341571,2.51793912428392,2.86604437109433,1.70833690974197,3.17689455057869,4.8972540736933,1.24893298563602,1.33477529120781
"6",1.6276807406387,1.82148773379275,1.98175961997998,1.61736376047615,1.24561341566542,3.72556808412111,3.31083795386414,2.741096148756,1.99760267936079,4.14037804892695,1.28112477750134,1.35724652466754
"7",1.67078154061819,1.898432532329,1.9427611069431,1.58589243504329,1.27349685290478,3.16241070027578,2.95978301535648,2.12949245651553,2.18961919234378,4.21574266621672,1.27398132114003,1.35790044487969
"8",1.56156863937724,1.88121848718939,1.78826793279988,1.6702678851705,1.24549250488741,4.01721464334325,2.59427248557161,3.01498833960591,2.0255528056986,3.66817181356379,1.3173992608562,1.36831719946205
"9",1.62845204384611,2.14605534175,1.65456496695572,1.78967747691649,1.40898336776353,2.19818325491838,2.37175246286729,2.26998165701728,4.03464375729711,4.79494278355337,1.24598631337205,1.3153571179768
"10",1.66778273075736,2.14030654301486,1.74618114649761,1.70523168392499,1.37893067650846,2.31384761376374,2.36598601036517,1.8245734546312,3.34523407913979,4.35112609700251,1.26008705392725,1.33542529015098
"11",1.66549590614382,2.16965569933089,1.68993697037701,1.78267000086932,1.38721700118213,2.24746009353634,2.37542608324875,1.949892466175,3.49536238418322,4.37563258401518,1.26081063752334,1.33416379699433
"12",1.6831678873985,2.22428408048044,1.61641416080283,1.94317686606447,1.41037598594336,2.18742624477199,2.49620788965503,2.35980518853212,3.78151097961753,4.57934714652757,1.27373417272902,1.33823354071901
"13",1.63923305328461,2.19491993693361,1.56294784666725,2.08356395489458,1.43652895507815,2.05491669259824,2.59801779112503,3.4742837168237,5.13519640858856,5.5923729641393,1.25733269733039,1.3077273808858
"14",1.80680974819865,2.44014019362385,1.55255544033391,2.37311819650673,1.41779095323969,2.10625460785745,3.01153885328098,2.83648086056195,3.85046064725251,4.43519925944814,1.33100418499684,1.40329284374928
"15",1.70691449366985,2.39478467361856,1.56432915656575,2.65714019818359,1.42054244126255,1.90301000708548,3.24964425332145,4.28715520195034,5.42620826986073,5.48100149452698,1.29973655557807,1.37161323021383
"16",1.63343566979589,1.46662933572017,1.98551313698001,1.15733879140655,1.49722407093085,5.73193470994143,2.19607170956418,4.40495963412528,3.77019898878611,6.46527353218006,1.27547952707088,1.15811606648817
"17",1.59074813274404,1.46741994630463,1.92519911354889,1.15525925019787,1.45296290091763,6.77405132619971,1.95540685028574,4.32702401320226,4.8033585919512,8.85046624585491,1.2747881096328,1.15461059838122
"18",1.65729808195391,1.60753434405352,1.99369724212121,1.17621398333942,1.44691103350379,4.30674368844266,2.23577724081913,4.60717400935183,3.56757762918364,4.78175260808808,1.38756347833532,1.12067431011719
"19",1.64290051381151,1.55059912326202,2.09088729876037,1.31435982377701,1.4466710239842,3.83963157938081,5.78905674627606,6.07159327354954,2.82395724209811,4.25017884257857,1.6168971633404,1.13459692666659
"20",1.45637579585635,1.43994969876035,1.96285870886461,1.28113730072975,1.45011200580894,4.10517075946867,5.411242100528,5.40908254828864,3.18734261196835,5.07134763524771,1.67847725814394,1.13020457699091
"21",1.27191736840257,1.47863290184597,1.62718238563917,1.23569975654969,1.39338979433313,4.18269474066098,2.35980485758642,3.81359029703387,4.36584396507136,4.83756308675081,1.57408262536717,1.10164228823344
"22",1.21545399885382,1.29126531771976,1.7085939504439,1.23490851694287,1.35202541132578,4.61385771508869,6.0285511701856,4.30500536149437,3.40804048337227,6.68440877587868,1.69050486901503,1.12049493218591
"23",1.17059405092252,1.3062876151258,1.72426389861219,1.18012584520525,1.4041071655316,5.15583326519464,4.90148759395586,4.29721171559506,4.57519176727376,7.28323635893658,1.81004885306196,1.12573759540728
"24",1.09836948424101,1.31890283167895,1.49862861241445,1.14669037332279,1.28398365865383,5.75196124371771,5.22036148825771,3.30362547130523,5.64602283391164,8.42893366001189,1.7668993387533,1.10762421277143
"25",1.10888365393031,1.3913640572948,1.3712676306665,1.15705878102276,1.20661840647187,6.37484995638868,6.29436250864116,2.5090208223793,7.65329406397473,10.5986772094072,1.70301677207545,1.09241217022537
"26",1.11459140591919,1.39729486929486,1.34333783960642,1.16007732250107,1.19410327124727,5.8981315391221,5.74232679903785,2.34372704421091,7.44153787533143,9.96584940978795,1.66792097081512,1.09023209843621
"27",1.78217973638938,1.71282140549119,2.16018732246282,1.4875467806417,1.36271727265592,2.48193995730382,1.57850917745593,1.86837498427365,2.26142555841548,2.55285406798058,1.20418884666699,1.18477344470429
"28",1.79646159015768,1.73363130780066,2.1738983901073,1.51339144361107,1.34046959278944,2.56919925009661,1.69430125422391,1.92463236765759,2.17499507174439,2.59175198712306,1.20615040318197,1.22543969185285
"29",1.84730238304496,1.81837922076301,2.23878056871276,1.42763893814073,1.39129839140563,2.60615686395697,1.96794877394339,1.7283100958292,2.21542449494004,2.92062906541343,1.22785849401005,1.2354704542479
"30",1.58273011903527,2.05296241443063,1.93989040793433,1.47615164787426,1.42307912667564,2.35366583554048,3.34710483025387,1.76691024915179,5.24990275303817,5.97146535053743,1.2095577594613,1.29797054621473
"31",1.65809423679997,2.03018906929234,2.08969609694175,1.46331724094971,1.40959931562759,2.46447550695158,3.61631473620695,1.67902645094113,4.46850375074849,5.78599013139618,1.21393720731651,1.3049155340309
"32",1.75184032780563,1.97204280288775,2.22272103626652,1.464366618276,1.38698385351173,2.58525347115787,3.73184349968988,1.69321406272581,3.18633957372016,5.28387406465938,1.21835880360986,1.31165209223772
"33",1.82929772828461,1.88205713612453,2.24012841163794,1.49961663783195,1.34014793545681,2.66034066790283,3.13472082117595,1.83872989194096,2.21876546342154,4.23313239440806,1.23123204335596,1.32383071391565
"34",1.68151861081617,1.9580549583454,2.18542482299534,1.39340365212147,1.42564469432891,2.52141114531343,2.707190110421,1.6132736332712,3.30632975182701,3.96221608889909,1.21730043897599,1.25582027387869
"35",1.55506959642473,2.06886373376607,1.97656166868074,1.44860250996312,1.44673478629021,2.34373735348764,3.60060237781847,1.75581180863991,6.16975664116739,6.16138872294785,1.20655416228313,1.28557571804556
"36",1.45986111628232,2.07342909750137,1.93322867655922,1.41063859018186,1.46105547447184,2.25980333030347,3.09249488088237,1.84937239263369,7.12849912887369,5.7120090911915,1.22385460030958,1.26055926835236
"37",1.19698035515879,1.77434610558943,1.41410824746811,1.17666335380208,1.23457460904597,3.48154604090263,4.58898005996193,1.54992753984464,5.08644783130866,5.53927834862298,1.41542455782743,1.10000585981697
"38",1.2003153657853,1.65721442173247,1.42570736107151,1.1495891969445,1.22750618605783,3.75864277763525,5.58909234871324,1.67746869364741,4.39944763129213,5.21026174595179,1.39834103395706,1.08703648839968
"39",1.22058596186498,1.69776363583744,1.46222044551426,1.16796647242127,1.24922108957892,3.47998002377149,4.60761037256998,1.77826259563052,4.17329533397649,4.51691119897666,1.38758601742814,1.09303812970749
"40",1.24507777215966,1.6082329082592,1.49089019756685,1.16637027814492,1.27133728131054,3.54436306042765,4.89426860267088,1.63219921827306,3.66235271462212,4.05110917546802,1.3698389205961,1.08758859732141
"41",1.29448047891016,1.92020584728634,1.67531758495012,1.34197781131695,1.41181572549086,2.35251600673679,1.81432567666359,1.90817210971999,4.19465596137946,2.8149094846966,1.37943968129107,1.16840810807615
"42",1.42184322255976,2.01670683313586,1.93213465512339,1.36719669812716,1.47838138960297,2.16216294218101,2.11685363330401,1.69586916738432,5.07250609491346,3.74233874246446,1.28546349801449,1.22623845662411
"43",1.44035286065928,2.01390238188028,1.94916404487444,1.36908388450843,1.47186803092891,2.19300803946982,2.19842047163284,1.66428966929055,4.98381097415125,3.8204549450836,1.27135593829669,1.22706404600303
"44",1.58883404931794,1.75006290380223,1.99240282929474,1.35130452493866,1.44435882052443,2.49794413497959,1.80175732629672,1.49850453375949,2.38599725372688,2.46719496552446,1.30595652190219,1.14542097194964
"45",1.62662850568734,1.70986437641747,2.00988256505315,1.34993810134257,1.42654403692922,2.56647964839526,1.82684248934595,1.53820008395725,2.32577291714707,2.5076189582082,1.28466310639699,1.13524578665154
"46",1.74365282198037,1.669934844594,2.06995473946013,1.39256335741458,1.41435082277434,2.60796765054785,1.78715890750063,1.67560426869255,2.33708545532241,2.58150032838409,1.2476851141426,1.13505295627146
"47",1.63315217533218,1.77575581091981,2.06283052467985,1.35927680844598,1.43319075452553,2.49274622558243,1.74602550954637,1.54229659985242,2.3768015885972,2.53909722216972,1.2767801622806,1.16118708626911
"48",1.59934515014033,1.98984239683399,2.10558351610513,1.37914409015607,1.457438708963,2.3937030803398,2.54577663478645,1.58489544028568,3.75057746008966,3.8587249997263,1.23104425130778,1.24481625659466
"49",1.35851354830065,1.91704152657698,1.5734928949039,1.56672685940238,1.3878229136202,2.04615619595226,2.54883089598721,2.86104966218378,8.34053478417505,6.4648412405709,1.175686387114,1.21475667314189
"50",1.39186289684616,1.90249761587642,1.51813284123926,1.68857440745069,1.38104120630614,1.861770383129,2.49875096392898,3.18653916667494,7.67655886110481,5.96798071993387,1.16040633882979,1.16725093275936
"51",1.4297969337072,1.95159913601159,1.5308010253656,1.74782360743312,1.39954686247464,1.90574703030503,2.37942235124026,3.28263516851595,7.13422623101792,6.10235984342419,1.17008075573394,1.20748063934258
"52",1.455127656681,1.97262245441274,1.53320707978462,1.79284449198274,1.40725923477163,1.91818800466574,2.39157581448181,3.37340157209678,6.90018798920789,6.11087983877294,1.17627940699085,1.21620640074595
"53",1.45008086808535,1.99757669420779,1.57312786151361,1.69477951962324,1.40503387286044,1.99665282726838,2.30287069017263,3.07258468727865,6.77375168133198,6.18210347172454,1.18751031426783,1.24372823454178
"54",1.50100263586687,2.05359909565894,1.55827307263016,1.81745181790121,1.40927685536938,1.96655692800828,2.3230040579653,3.20088232325935,6.11689214127958,5.90241503367456,1.19702112735211,1.25682567687038
"55",1.55565320188078,2.05409505462549,1.76980817752756,1.54698781354047,1.41406568980371,2.26142237967436,2.59036588842209,2.02448219812733,4.78668023001334,5.44749264344606,1.21311313355192,1.29319998634571
"56",1.46757429221167,2.01823348985979,1.64480530390059,1.58642707805995,1.41828905564483,2.10541259667777,2.47065272220825,2.71515966897904,6.60519284479345,6.34487203061124,1.19554417746609,1.26271204039547
"57",1.48407127136746,2.02819705123292,1.68875595075308,1.54830326090116,1.42874972313473,2.16867181375968,2.70984296039977,2.5590295545532,6.55748722128799,6.53712928987052,1.19912062886721,1.26969220383702
"58",1.53613534459175,2.04923293538469,1.81948935497883,1.49544103434179,1.42154470762284,2.26849622409081,2.99239895928343,1.95450530377414,5.54911109270557,5.98621315365771,1.20552498828583,1.28878863182697
"59",1.50286997701134,2.03293864924487,1.64183635476142,1.63317095513458,1.43377132951081,2.14059984107047,2.46948173310669,2.82547819991514,6.11825551208342,6.25558257487098,1.20516997817039,1.26723317673831
"60",1.5316071841329,2.05843677204239,1.63194596007956,1.68782141017622,1.4324849358141,2.13797397752397,2.39073749856524,2.82412300832945,5.58223328924347,5.91739722454475,1.21303358006197,1.27546571632273
"61",1.53132434517087,2.05465667853685,1.6798375400829,1.61093270740929,1.42217490082926,2.17652008041186,2.43828656025555,2.4414042625966,5.29198544044412,5.71492701555615,1.20953105306387,1.28204095699868
"62",1.35871533223026,2.05240093397917,1.73078350899903,1.44043886671017,1.42782712200699,2.24850064836721,3.44575667576622,2.48784092717844,11.6367326932586,7.96096038216703,1.21738214085457,1.26733821938179
"63",1.24474982916854,1.93419981457916,1.59790023478299,1.46707062038897,1.34692868875344,2.62606734193098,3.20874157120338,2.34038333897421,10.1958519791907,6.21619267824501,1.20091237472457,1.22839746276448
"64",1.30546531439747,1.85394149962931,1.53843738494269,1.53615987357298,1.33347204309752,3.81301430031094,5.08506356752795,3.5899853191615,8.04538141650628,5.41041220691325,1.16186677072127,1.09944547908138
"65",1.26997749621315,1.90573027338924,1.58614110752507,1.49170119360455,1.34609383759058,2.58357578113439,3.23668381426219,2.44678380379641,9.29804733428455,5.93819818339809,1.18877300850467,1.1967475355551
